Target_Genre,Mapped_Anchor_Genre,B2B_Platform_Category,Suno_Style_Prompt,Negative_Prompt,Suggested_Album_Title
turkish soundtrack,Industrial Rock / EBM Crossover (인더스트리얼 록),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"turkish soundtrack, 110-130 bpm, distorted synthesizer bass, metallic industrial percussion, pulsing ebm beats, high-gain rhythm guitar, analog audio feedback","no bright major scale pop melodies, no sweet unpitched r&b vocal harmonies, no warm acoustic country folk guitar, no progressive metal technical speed solos, no smooth jazz lounge piano",The Sound of turkish soundtrack - 호텔 라운지
musica andina,Traditional Jamaican Ska (정통 자메이카 스카),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"musica andina, 110-130 bpm, syncopated electric guitar chop, walking double bass, bright acoustic horn section, rimshot snare, jazz piano chords","no modern electronic drum machines, no heavy rock guitar distortion, no digital autotune vocal shifting, no sharp synthesizer leads, no aggressive trap 808 sub-bass",The Sound of musica andina - 호텔 라운지
chinese idol pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"chinese idol pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of chinese idol pop - 호텔 라운지
kansas city hip hop,1980s Japanese City Pop (시티 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"kansas city hip hop, 110-120 bpm, smooth electric slap bass, sophisticated brass horn sections, warm fender rhodes, slick jazz guitar fills, nostalgic analog strings","no modern aggressive electronic trap drum loops, no digital autotune voice shifting, no heavy metal high-gain distortion guitars, no dark industrial techno drones, no raw unpolished lo-fi garage noise",The Sound of kansas city hip hop - 호텔 라운지
steampunk,Ska Punk / Third Wave Ska (스카 펑크),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"steampunk, 140-170 bpm, fast syncopated guitar upstrokes, blistering punk drums, explosive brass horn sections, aggressive bass guitar, distorted power chords","no modern electronic drum machines, no digital autotune voice shifting, no sliding heavy 808 sub-bass, no dark industrial techno drones, no progressive metal technical sweeping solos",The Sound of steampunk - 호텔 라운지
experimental ambient,Neo-Classical Ambient / Modern Classical (네오클래식 앰비언트),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"experimental ambient, 50-75 bpm, felt upright piano, warm cinematic string ensemble, minimal sub-bass drones, mechanical piano key clicks, soft ambient synthesizer pads","no rhythmic electronic drum machines, no dynamic trap 808 hi-hat loops, no digital autotune voice shifting, no heavy metal guitar distortion, no generic commercial pop choruses",The Sound of experimental ambient - 감성 브이로그
deathgrass,Traditional American Bluegrass / Fast Pickin Country (블루그래스),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"deathgrass, 130-160 bpm, fast banjo rolling, virtuosic mandolin chops, flatpicking acoustic guitar, upright acoustic bass, rustic fiddle leads","no digital electronic drum machines, no heavy metal high-gain distortion guitars, no digital autotune voice shifting, no synthetic pop pads, no fast electronic 4/4 house kicks",The Sound of deathgrass - 호텔 라운지
drain,Drift Phonk / TikTok Phonk (드리프트 폰크),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"drain, 120-130 bpm, high-pitched distorted cowbell melody, blown-out clipping 808 bass, aggressive phonk drum loops, dark phonk synths, car engine revs","no slow relaxing lo-fi bedroom beats, no pristine high-definition commercial pop vocal harmonies, no clean major scale acoustic piano, no heavy rock metal guitar solos, no traditional acoustic instruments",The Sound of drain - 호텔 라운지
russian viral rap,Traditional Brazilian Bossa Nova (보사노바),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"russian viral rap, 80-90 bpm, syncopated nylon guitar strumming, smooth acoustic upright bass, soft brushing snare, organic percussion, warm acoustic grand piano","no digital electronic drum machines, no heavy high-gain metal guitar distortion, no sharp synthesizer leads, no aggressive shouting rap, no modern trap 808 sub-bass",The Sound of russian viral rap - 호텔 라운지
j-ambient,Ambient Pop (앰비언트 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"j-ambient, 60-75 bpm, vast floating synth pads, minimalistic slow snare, clean tape-delayed electric guitar, warm round sub-bass, organic field recordings","no fast electronic dance drum kits, no loud aggressive brass section, no punchy dynamic lead vocals, no heavy high-gain metal guitars, no rapid trap hi-hat rolls",The Sound of j-ambient - 호텔 라운지
banjo,Traditional Spanish Flamenco / Cante Jondo (플라멩코),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"banjo, 100-140 bpm, passionate flamenco guitar rasgueado, rhythmic handclaps palmas, dramatic foot stamping zapateado, acoustic cajon thuds, castanets accents","no digital electronic drum machines, no heavy metal high-gain distortion guitars, no modern trap 808 sub-bass glides, no bright pop vocal harmonies, no autotuned commercial mumble rap",The Sound of banjo - 호텔 라운지
cancion infantil mexicana,Gothic Americana / Dark Country (고딕 아메리카나),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"cancion infantil mexicana, 65-85 bpm, weeping dobro guitar, dark acoustic guitar plucks, heavy floor tom stomps, rusty banjo, atmospheric deep cello, hollow reverb whistling","no bright uplifting pop melodies, no electronic drum machines, no modern synthesisers, no auto-tuned rap flows, no flashy k-pop production, no bright electronic instruments",The Sound of cancion infantil mexicana - 호텔 라운지
solfeggio product,Stoner Rock / Doom Metal (스토너 록 / 둠 메탈),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"solfeggio product, 60-85 bpm, fuzzy down-tuned guitars, heavy vintage bass, slow massive drum beats, vintage analog amplifiers, psychedelic organ","no rapid double-bass blast beats, no fast neon electronic synths, no crystal clear modern pop autotune, no bright major scale acoustic guitar, no hiphop trap hihats",The Sound of solfeggio product - 감성 브이로그
slamming deathcore,Mathcore / Chaotic Hardcore (매스코어),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"slamming deathcore, 140-180 bpm, dissonant erratic guitars, unpredictable panic-chord shrieks, asymmetric complex drums, snapping distorted bass, raw guitar feedback noise","no generic commercial pop-punk major scale melodies, no digital autotune voice shifting, no smooth r&b pop backing harmonies, no traditional progressive metal clean speed solos, no electronic trap drum loops",The Sound of slamming deathcore - 감성 브이로그
classic polish pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"classic polish pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of classic polish pop - 호텔 라운지
turkce kadin rap,Dark Academia / Neoclassical Darkwave (다크 아카데미아),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"turkce kadin rap, 60-85 bpm, melancholic grand piano, dark cello, weeping violin, vintage harpsichord, pipe organ, ambient library room tone","no modern electronic drum machines, no dynamic trap hi-hat rolls, no autotune vocal shifting, no heavy metal high-gain distortion, no cheerful major scale pop",The Sound of turkce kadin rap - 호텔 라운지
norwegian rock,Noise Rock / No Wave (노이즈 록 / 노 웨이브),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"norwegian rock, 120-150 bpm, screaming guitar feedback, abrasive metallic percussion, detuned heavy bass guitar, raw microtonal noise, unorthodox guitar slide","no cheerful commercial pop melodies, no sweet autotuned pop singing, no smooth r&b harmonies, no traditional progressive metal guitar solos, no electronic trap drum loops",The Sound of norwegian rock - 감성 브이로그
jungle,Grunge / 1990s Seattle Sound (그란지 록),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"jungle, 80-120 bpm, heavy mud-distorted electric guitars, gritty rhythmic bass, unpolished aggressive acoustic drums, loose garage amplifiers feedback","no digital electronic drum machines, no modern commercial pop autotune, no rapid modern trap triplet hi-hat rolls, no progressive metal clear technical speed solos, no bright major scale pop piano",The Sound of jungle - 호텔 라운지
ecm-style jazz,Afro-Cuban Jazz / Latin Jazz (아프로 큐반 재즈),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"ecm-style jazz, 120-150 bpm, syncopated piano tumbao, driving congas and bongos, cascading brass horn sections, warm acoustic upright bass, timbales, cowbell accents","no modern electronic drum machines, no heavy metal high-gain distortion guitars, no digital trap 808 sub-bass, no autotuned commercial mumble rap, no smooth synthesized pop pads",The Sound of ecm-style jazz - 호텔 라운지
abstract beats,Modern Afrobeats / Afro-Fusion (아프로비츠),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"abstract beats, 100-115 bpm, syncopated west african riddims, organic congas, shaker loops, warm synth chords, smooth saxophone leads, muted electric guitar riffs","no straight 4/4 house club kicks, no rapid modern trap triplet hi-hat rolls, no heavy rock metal guitar distortion, no dark industrial techno drones, no progressive edm supersaw drops",The Sound of abstract beats - 호텔 라운지
cello,Chill Phonk (칠폰크),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"cello, 120 bpm, 아날로그 카우벨, 왜곡된 808 서브 베이스, 에테리얼 신스 패드, 레트로 랩 보컬 샘플","extreme harsh noise, unpolished garage recording",The Sound of cello - 감성 브이로그
ukrainian phonk,Classic Underground Phonk / Memphis Revival (클래식 폰크),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"ukrainian phonk, 85-100 bpm, filtered jazz samples, heavy distorted 808 sub-bass, 90s memphis rap cassette tapes, subtle cowbell loops, vinyl crackle","no piercing modern high pitched cowbells, no fast high tempo dance rhythms, no crystal clear commercial pop vocals, no uplifting major scale edm synths, no live rock guitar",The Sound of ukrainian phonk - 호텔 라운지
saxophone house,1980s Chicago House / Jacking House (시카고 하우스),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"saxophone house, 120-125 bpm, vintage tr707 drum machine, rhythmic jacking bassline, raw analogue synths, cowbell accents, acoustic handclaps, basic piano chords","no modern commercial autotune, no dynamic modern trap triplet hi-hat rolls, no sliding heavy 808 sub-bass glides, no heavy metal high-gain distortion guitars, no massive edm festival drops",The Sound of saxophone house - 호텔 라운지
south african trap,Trap Music (트랩),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"south african trap, 130-145 bpm, 808 sub-bass boom, rapid hi-hat rolls, crisp electronic snare, dark piano loops, brass hits","no acoustic live drums, no classic rock electric guitars, no slow country folk banjo, no bright major scale pop chords, no vintage tape hiss",The Sound of south african trap - 호텔 라운지
nottingham hip hop,Lo-Fi Hip Hop / Chillhop Bedroom Beats (로파이 힙합),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"nottingham hip hop, 70-85 bpm, dusty vinyl drum breaks, jazzy acoustic piano chords, warm muted electric bass, vintage cassette tape hiss, continuous vinyl crackle noise, cozy g...","no fast electronic dance beats, no aggressive shouting rap flows, no rapid triplet trap hi-hat rolls, no heavy metal high-gain guitar distortion, no sharp commercial high-definition vocal belting",The Sound of nottingham hip hop - 호텔 라운지
reggae cover,Traditional Roots Reggae (정통 레게),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"reggae cover, 70-85 bpm, off-beat guitar skank, heavy bubbling bassline, one-drop drum beat, vintage hammond organ bubbles, clean brass section, rasta percussion","no fast modern electronic dance beats, no aggressive shouting metal growls, no rapid trap triplet hi-hat rolls, no sliding heavy 808 sub-bass glides, no high-definition pop autotune vocal belting",The Sound of reggae cover - 호텔 라운지
old school bassline,UK Bassline / Speed Garage (UK 베이스라인),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"old school bassline, 135-142 bpm, warped bassline, heavy 4/4 garage kick, crisp skipping hi-hats, piercing alarm sirens, rapid vocal chops","no slow hiphop boom bap loops, no soft acoustic folk ballads, no traditional jazz chord progressions, no bright emotional grand piano, no heavy rock metal distortion",The Sound of old school bassline - 호텔 라운지
polish alternative rock,Alternative R&B / PBR&B (얼터너티브 알앤비),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"polish alternative rock, 70-90 bpm, atmospheric ambient synths, distorted drum breaks, heavy sub-bass, moody electric guitar, filtered rhodes piano","no fast electronic house dance beats, no aggressive shouting metal growls, no cheerful major scale acoustic piano, no old-school fast boom bap drums, no country folk banjo",The Sound of polish alternative rock - 호텔 라운지
rock quebecois,Baroque Pop / Chamber Pop (바로크 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"rock quebecois, 70-100 bpm, harpsichord, grand orchestral strings, woodwinds, acoustic piano, timpanis, subtle electric bass guitar","no modern electronic synth leads, no artificial trap drum machine loops, no aggressive high-gain metal riffs, no digital autotune vocal shifting, no generic electro-house drops",The Sound of rock quebecois - 호텔 라운지
indonesian ska,Industrial Rock / EBM Crossover (인더스트리얼 록),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"indonesian ska, 110-130 bpm, distorted synthesizer bass, metallic industrial percussion, pulsing ebm beats, high-gain rhythm guitar, analog audio feedback","no bright major scale pop melodies, no sweet unpitched r&b vocal harmonies, no warm acoustic country folk guitar, no progressive metal technical speed solos, no smooth jazz lounge piano",The Sound of indonesian ska - 호텔 라운지
australian r&b,Alternative R&B / PBR&B (얼터너티브 알앤비),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"australian r&b, 70-90 bpm, atmospheric ambient synths, distorted drum breaks, heavy sub-bass, moody electric guitar, filtered rhodes piano","no fast electronic house dance beats, no aggressive shouting metal growls, no cheerful major scale acoustic piano, no old-school fast boom bap drums, no country folk banjo",The Sound of australian r&b - 호텔 라운지
emo mexicano,Gothic Americana / Dark Country (고딕 아메리카나),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"emo mexicano, 65-85 bpm, weeping dobro guitar, dark acoustic guitar plucks, heavy floor tom stomps, rusty banjo, atmospheric deep cello, hollow reverb whistling","no bright uplifting pop melodies, no electronic drum machines, no modern synthesisers, no auto-tuned rap flows, no flashy k-pop production, no bright electronic instruments",The Sound of emo mexicano - 감성 브이로그
islamic recitation,Traditional Jamaican Ska (정통 자메이카 스카),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"islamic recitation, 110-130 bpm, syncopated electric guitar chop, walking double bass, bright acoustic horn section, rimshot snare, jazz piano chords","no modern electronic drum machines, no heavy rock guitar distortion, no digital autotune vocal shifting, no sharp synthesizer leads, no aggressive trap 808 sub-bass",The Sound of islamic recitation - 호텔 라운지
english baroque,Baroque Pop / Chamber Pop (바로크 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"english baroque, 70-100 bpm, harpsichord, grand orchestral strings, woodwinds, acoustic piano, timpanis, subtle electric bass guitar","no modern electronic synth leads, no artificial trap drum machine loops, no aggressive high-gain metal riffs, no digital autotune vocal shifting, no generic electro-house drops",The Sound of english baroque - 호텔 라운지
uk tech house,1980s Chicago House / Jacking House (시카고 하우스),Z세대 트렌디 숏폼 / 액티브 클럽 스페이스 BGM,"uk tech house, 120-125 bpm, vintage tr707 drum machine, rhythmic jacking bassline, raw analogue synths, cowbell accents, acoustic handclaps, basic piano chords","no modern commercial autotune, no dynamic modern trap triplet hi-hat rolls, no sliding heavy 808 sub-bass glides, no heavy metal high-gain distortion guitars, no massive edm festival drops",The Sound of uk tech house - Z세대 트렌디 숏폼
australian post-hardcore,Happy Hardcore / UK Hardcore Rave Sound (해피 하드코어),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"australian post-hardcore, 160-170 bpm, fast uplifting piano stabs, happy supersaw chords, energetic 4/4 rave kick, bright synthesizer bells, breakbeat rolls","no dark industrial techno drones, no heavy metal high-gain distortion guitars, no slow depressing lo-fi bedroom beats, no sliding heavy 808 sub-bass glides, no traditional country folk acoustic guitar",The Sound of australian post-hardcore - 감성 브이로그
synthesizer,Synthwave / Retrowave (신스웨이브),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"synthesizer, 80-110 bpm, outrun retro analog synths, pulsing bassline, vintage LinnDrum machine, gated reverb snare, neon synthesizer pads, electric guitar solos","no modern trap drum loops, no sliding heavy 808 sub-bass, no autotuned mumble rap, no aggressive metal growls, no organic acoustic country folk banjo",The Sound of synthesizer - 감성 브이로그
deep new americana,Gothic Americana / Dark Country (고딕 아메리카나),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"deep new americana, 65-85 bpm, weeping dobro guitar, dark acoustic guitar plucks, heavy floor tom stomps, rusty banjo, atmospheric deep cello, hollow reverb whistling","no bright uplifting pop melodies, no electronic drum machines, no modern synthesisers, no auto-tuned rap flows, no flashy k-pop production, no bright electronic instruments",The Sound of deep new americana - 호텔 라운지
russian underground rap,Stoner Rock / Sludge Metal / Desert Rock (스토너 록 / 슬러지 메탈),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"russian underground rap, 65-90 bpm, ultra-fuzzy down-tuned guitars, thick muddy bass distortion, slow heavy acoustic drums, psychedelic feedback noise loops","no modern electronic trap drum machine loops, no digital autotune voice shifting, no progressive metal hyper-gain clear clean sweeping solos, no massive edm festival drops, no smooth pop backing harmonies",The Sound of russian underground rap - 호텔 라운지
dark rock,Garage Rock / Indie Rock Revival (개러지 록),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"dark rock, 120-140 bpm, raw overdriven electric guitars, crunchy rhythmic bass, unpolished acoustic drums, snappy tambourine accents","no modern electronic trap drum loops, no digital autotune voice shifting, no smooth commercial pop harmonies, no progressive metal technical sweeping solos, no massive edm festival drops",The Sound of dark rock - 감성 브이로그
dark post-punk,Classic Post-Punk / Darkwave Revival (포스트 펑크),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"dark post-punk, 115-130 bpm, prominent cold basslines, jagged minimalist guitars, rhythmic robotic drums, vintage analog synth drones, sharp hi-hat ticks","no cheerful major scale pop melodies, no heavy metal high-gain distortion speed solos, no digital autotune voice shifting, no modern electronic trap drum loops, no smooth commercial pop harmonies",The Sound of dark post-punk - 호텔 라운지
old school dancehall,Authentic Jamaican Dancehall (정통 자메이카 댄스홀),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"old school dancehall, 90-105 bpm, syncopated dembow riddim, raw electronic percussion, digital synth blips, heavy sub-bass thumps, minimalist keys","no straight 4/4 electronic house dance beats, no heavy metal high-gain guitar distortion, no slow acoustic indie folk, no smooth commercial pop vocal harmonies, no generic edm festival drops",The Sound of old school dancehall - 호텔 라운지
musica poblana,Classic Underground Phonk / Memphis Revival (클래식 폰크),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"musica poblana, 85-100 bpm, filtered jazz samples, heavy distorted 808 sub-bass, 90s memphis rap cassette tapes, subtle cowbell loops, vinyl crackle","no piercing modern high pitched cowbells, no fast high tempo dance rhythms, no crystal clear commercial pop vocals, no uplifting major scale edm synths, no live rock guitar",The Sound of musica poblana - 호텔 라운지
italian tenor,Industrial Techno / Hard Warehouse Techno (인더스트리얼 테크노),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"italian tenor, 135-145 bpm, heavily distorted warehouse kick, metallic percussion clangs, distorted synth loops, screeching feedback drones, raw noise static","no bright major scale pop melodies, no sweet autotuned pop singing, no smooth r&b backing harmonies, no traditional country folk acoustic guitars, no slow hiphop trap drum loops",The Sound of italian tenor - 감성 브이로그
canadian classical,Neo-Classical Ambient / Modern Classical (네오클래식 앰비언트),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"canadian classical, 50-75 bpm, felt upright piano, warm cinematic string ensemble, minimal sub-bass drones, mechanical piano key clicks, soft ambient synthesizer pads","no rhythmic electronic drum machines, no dynamic trap 808 hi-hat loops, no digital autotune voice shifting, no heavy metal guitar distortion, no generic commercial pop choruses",The Sound of canadian classical - 감성 브이로그
classical tenor,Neo-Classical Ambient / Modern Classical (네오클래식 앰비언트),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"classical tenor, 50-75 bpm, felt upright piano, warm cinematic string ensemble, minimal sub-bass drones, mechanical piano key clicks, soft ambient synthesizer pads","no rhythmic electronic drum machines, no dynamic trap 808 hi-hat loops, no digital autotune voice shifting, no heavy metal guitar distortion, no generic commercial pop choruses",The Sound of classical tenor - 감성 브이로그
swedish americana,Gothic Americana / Dark Country (고딕 아메리카나),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"swedish americana, 65-85 bpm, weeping dobro guitar, dark acoustic guitar plucks, heavy floor tom stomps, rusty banjo, atmospheric deep cello, hollow reverb whistling","no bright uplifting pop melodies, no electronic drum machines, no modern synthesisers, no auto-tuned rap flows, no flashy k-pop production, no bright electronic instruments",The Sound of swedish americana - 호텔 라운지
swedish melodic rock,Psychedelic Rock / Acid Rock (사이케델릭 록),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"swedish melodic rock, 80-120 bpm, fuzzy wah-wah electric guitar, swirling leslie speaker organ, pulsating hypnotic bass, vintage acoustic drums, sitar textures, reverse tape eff...","no modern digital electronic drum machines, no dynamic trap hi-hat rolls, no commercial autotune pitch-shifting, no sharp edm supersaw leads, no simple major scale pop",The Sound of swedish melodic rock - 감성 브이로그
dangdut remix,Dark Academia / Neoclassical Darkwave (다크 아카데미아),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"dangdut remix, 60-85 bpm, melancholic grand piano, dark cello, weeping violin, vintage harpsichord, pipe organ, ambient library room tone","no modern electronic drum machines, no dynamic trap hi-hat rolls, no autotune vocal shifting, no heavy metal high-gain distortion, no cheerful major scale pop",The Sound of dangdut remix - 호텔 라운지
crossover thrash,Gugak Crossover (국악 크로스오버),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"crossover thrash, 80-130 bpm, gayageum, haegeum, daegeum, taepyeongso, heavy rock drums, electric bass guitar, modern synthesizers, cinematic orchestral strings","no generic electro-house, no mumble trap, no bubblegum pop chords, no simple 808 loop, no lo-fi aesthetic, no generic acoustic pop guitar strumming",The Sound of crossover thrash - 감성 브이로그
russian rave,UK Bassline / Speed Garage (UK 베이스라인),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"russian rave, 135-142 bpm, warped bassline, heavy 4/4 garage kick, crisp skipping hi-hats, piercing alarm sirens, rapid vocal chops","no slow hiphop boom bap loops, no soft acoustic folk ballads, no traditional jazz chord progressions, no bright emotional grand piano, no heavy rock metal distortion",The Sound of russian rave - 호텔 라운지
musica potosina,Classic Motown / 1960s Soul (모타운 소울),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"musica potosina, 115-130 bpm, driving melodic bassline, backbeat tambourine, sweet brass horns, orchestral strings, rhythm guitar chops","no modern electronic trap drum loops, no digital autotune voice shifting, no sliding heavy 808 sub-bass glides, no rapid triplet trap hi-hat rolls, no heavy metal high-gain distortion guitars",The Sound of musica potosina - 호텔 라운지
sacramento hip hop,Ambient Pop (앰비언트 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"sacramento hip hop, 60-75 bpm, vast floating synth pads, minimalistic slow snare, clean tape-delayed electric guitar, warm round sub-bass, organic field recordings","no fast electronic dance drum kits, no loud aggressive brass section, no punchy dynamic lead vocals, no heavy high-gain metal guitars, no rapid trap hi-hat rolls",The Sound of sacramento hip hop - 호텔 라운지
german indie folk,Indie Folk (인디 포크),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"german indie folk, 70-95 bpm, acoustic guitar, banjo, warm cello, rustic violin, soft acoustic drum kit, stomps and claps","no electronic drum machines, no heavy synthesizer drops, no aggressive guitar distortion, no auto-tuned pop vocals, no urban trap beats",The Sound of german indie folk - 호텔 라운지
north east england indie,K-Pop Ballad / Emotional Pop Ballad (국민 발라드),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"north east england indie, 65-80 bpm, beautiful acoustic piano, lush orchestral strings, warm acoustic guitar, soft dynamic studio drums, clean electric bass, delicate chimes","no modern electronic drum machines, no rapid modern trap triplet hi-hat rolls, no sliding heavy 808 sub-bass, no heavy metal high-gain distortion guitars, no fast electronic house club kicks",The Sound of north east england indie - 호텔 라운지
punk rock mexicano,Gothic Americana / Dark Country (고딕 아메리카나),감성 브이로그 / 내추럴 브랜드 쇼룸 / 카페 큐레이션,"punk rock mexicano, 65-85 bpm, weeping dobro guitar, dark acoustic guitar plucks, heavy floor tom stomps, rusty banjo, atmospheric deep cello, hollow reverb whistling","no bright uplifting pop melodies, no electronic drum machines, no modern synthesisers, no auto-tuned rap flows, no flashy k-pop production, no bright electronic instruments",The Sound of punk rock mexicano - 감성 브이로그
psicodelia brasileira,Psychedelic Rock / Acid Rock (사이케델릭 록),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"psicodelia brasileira, 80-120 bpm, fuzzy wah-wah electric guitar, swirling leslie speaker organ, pulsating hypnotic bass, vintage acoustic drums, sitar textures, reverse tape ef...","no modern digital electronic drum machines, no dynamic trap hi-hat rolls, no commercial autotune pitch-shifting, no sharp edm supersaw leads, no simple major scale pop",The Sound of psicodelia brasileira - 호텔 라운지
josei rap,Joseon Hiphop / Korean Traditional Fusion Trap (조선힙합 / 국악 퓨전 힙합),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"josei rap, 80-130 bpm, piercing taepyeongso blares, sharp gayageum plucks, weeping haegeum textures, heavy sliding 808 bass, organic janggu/buk percussion kits","no cheerful major scale pop melodies, no digital electronic EDM supersaw leads, no smooth unpitched commercial r&b vocal harmonies, no western country folk banjo, no fast techno house club kicks",The Sound of josei rap - 호텔 라운지
japanese instrumental,1980s J-Pop (80년대 제이팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"japanese instrumental, 120-140 bpm, analog synth brass, crystalline chime bells, bright electric guitar, electronic drum kits Simmons, upbeat bass guitar, real string section","no modern heavy trap, no auto-tuned mumble rap, no dark industrial techno, no acoustic lo-fi indie, no heavy djent metal guitar, no death growls",The Sound of japanese instrumental - 호텔 라운지
bakersfield sound,Bass House / Night Bass (베이스 하우스),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"bakersfield sound, 124-128 bpm, heavy FM synth bass, punchy 4/4 house kick, metallic crisp hi-hats, pitch-shifted vocal chops, distorted sub-bass rumbles","no slow hiphop trap loops, no gentle acoustic folk acoustic guitar, no traditional grand piano melodies, no progressive house festival supersaw leads, no heavy metal high-gain distortion",The Sound of bakersfield sound - 호텔 라운지
korean old school hip hop,Modern K-Pop Dance (모던 케이팝 댄스),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"korean old school hip hop, 115-130 bpm, polished digital synths, punchy sub-bass, multi-layered percussion, brass accents, crisp electronic claps","no lo-fi hiss, no unpolished raw indie sound, no muddy bass, no long vintage guitar solos, no acoustic folk elements, no classical arrangement",The Sound of korean old school hip hop - 호텔 라운지
korean talent show,Modern K-Pop Dance (모던 케이팝 댄스),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"korean talent show, 115-130 bpm, polished digital synths, punchy sub-bass, multi-layered percussion, brass accents, crisp electronic claps","no lo-fi hiss, no unpolished raw indie sound, no muddy bass, no long vintage guitar solos, no acoustic folk elements, no classical arrangement",The Sound of korean talent show - 호텔 라운지
